"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Mar 18 10:52:39 GMT 2025","Tue Mar 18 10:52:40 GMT 2025","387","Register API tests","","","","","should get 400 if username already exists",""
"passed","Tue Mar 18 10:52:30 GMT 2025","Tue Mar 18 10:52:32 GMT 2025","1605","POST Product API tests","","","","","should successfully create product as admin (200)",""
"passed","Tue Mar 18 10:52:42 GMT 2025","Tue Mar 18 10:52:44 GMT 2025","1862","Login page","","","","","should login successfully",""
"passed","Tue Mar 18 10:52:36 GMT 2025","Tue Mar 18 10:52:36 GMT 2025","788","GET Products API tests","","","","","should successfully get products",""
"passed","Tue Mar 18 10:52:33 GMT 2025","Tue Mar 18 10:52:33 GMT 2025","37","POST Product API tests","","","","","should receive 401 without proper token",""
"passed","Tue Mar 18 10:52:48 GMT 2025","Tue Mar 18 10:52:49 GMT 2025","965","Navbar tests","","","","","should open profile page",""
"passed","Tue Mar 18 10:52:39 GMT 2025","Tue Mar 18 10:52:39 GMT 2025","40","Register API tests","","","","","should get 400 on invalid username",""
"passed","Tue Mar 18 10:52:32 GMT 2025","Tue Mar 18 10:52:33 GMT 2025","737","POST Product API tests","","","","","should receive 400 if invalid stockQuantity",""
"passed","Tue Mar 18 10:52:50 GMT 2025","Tue Mar 18 10:52:51 GMT 2025","991","Navbar tests","","","","","should logout on movile view",""
"passed","Tue Mar 18 10:52:49 GMT 2025","Tue Mar 18 10:52:50 GMT 2025","918","Navbar tests","","","","","should logout",""
"passed","Tue Mar 18 10:52:51 GMT 2025","Tue Mar 18 10:52:52 GMT 2025","794","Navbar tests","","","","","should display correct number of cart items",""
"passed","Tue Mar 18 10:52:47 GMT 2025","Tue Mar 18 10:52:48 GMT 2025","1253","Navbar tests","","","","","should open products page",""
"passed","Tue Mar 18 10:52:39 GMT 2025","Tue Mar 18 10:52:39 GMT 2025","434","Register API tests","","","","","should successfully register user",""
"passed","Tue Mar 18 10:52:44 GMT 2025","Tue Mar 18 10:52:45 GMT 2025","820","Login page","","","","","should fail to login",""
"passed","Tue Mar 18 10:52:37 GMT 2025","Tue Mar 18 10:52:37 GMT 2025","34","GET Products API tests","","","","","should get 401 without token",""
"passed","Tue Mar 18 10:52:33 GMT 2025","Tue Mar 18 10:52:33 GMT 2025","751","POST Product API tests","","","","","should receive 403 as client",""
