"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Mar 18 14:04:51 GMT 2025","Tue Mar 18 14:04:52 GMT 2025","536","Login page tests in isolation","","","","","should fail to login",""
"passed","Tue Mar 18 14:04:35 GMT 2025","Tue Mar 18 14:04:36 GMT 2025","1590","POST Product API tests","","","","","should successfully create product as admin (200)",""
"passed","Tue Mar 18 14:04:55 GMT 2025","Tue Mar 18 14:04:56 GMT 2025","921","Navbar tests","","","","","should open profile page",""
"passed","Tue Mar 18 14:04:37 GMT 2025","Tue Mar 18 14:04:37 GMT 2025","67","POST Product API tests","","","","","should receive 401 without proper token",""
"passed","Tue Mar 18 14:04:43 GMT 2025","Tue Mar 18 14:04:43 GMT 2025","383","Register API tests","","","","","should successfully register user",""
"passed","Tue Mar 18 14:04:36 GMT 2025","Tue Mar 18 14:04:37 GMT 2025","759","POST Product API tests","","","","","should receive 400 if invalid stockQuantity",""
"passed","Tue Mar 18 14:04:54 GMT 2025","Tue Mar 18 14:04:55 GMT 2025","1206","Navbar tests","","","","","should open products page",""
"passed","Tue Mar 18 14:04:47 GMT 2025","Tue Mar 18 14:04:48 GMT 2025","819","Login page","","","","","should fail to login",""
"passed","Tue Mar 18 14:05:02 GMT 2025","Tue Mar 18 14:05:04 GMT 2025","1543","Register tests in isolation","","","","","should successfully register new user",""
"passed","Tue Mar 18 14:04:50 GMT 2025","Tue Mar 18 14:04:51 GMT 2025","893","Login page tests in isolation","","","","","should login successfully",""
"passed","Tue Mar 18 14:04:40 GMT 2025","Tue Mar 18 14:04:40 GMT 2025","386","Update products","","","","","should update products",""
"passed","Tue Mar 18 14:04:43 GMT 2025","Tue Mar 18 14:04:43 GMT 2025","377","Register API tests","","","","","should get 400 if username already exists",""
"passed","Tue Mar 18 14:04:45 GMT 2025","Tue Mar 18 14:04:47 GMT 2025","1716","Login page","","","","","should login successfully",""
"broken","Tue Mar 18 14:05:00 GMT 2025","Tue Mar 18 14:05:00 GMT 2025","379","Products page isolated tests","","","","","should display all products",""
"passed","Tue Mar 18 14:05:04 GMT 2025","Tue Mar 18 14:05:05 GMT 2025","1397","Register tests in isolation","","","","","should fail to register if user already exists",""
"passed","Tue Mar 18 14:04:56 GMT 2025","Tue Mar 18 14:04:57 GMT 2025","890","Navbar tests","","","","","should logout",""
"passed","Tue Mar 18 14:04:37 GMT 2025","Tue Mar 18 14:04:38 GMT 2025","750","POST Product API tests","","","","","should receive 403 as client",""
"passed","Tue Mar 18 14:04:43 GMT 2025","Tue Mar 18 14:04:43 GMT 2025","39","Register API tests","","","","","should get 400 on invalid username",""
"passed","Tue Mar 18 14:04:57 GMT 2025","Tue Mar 18 14:04:58 GMT 2025","813","Navbar tests","","","","","should display correct number of cart items",""
