"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Mar 18 10:16:28 GMT 2025","Tue Mar 18 10:16:29 GMT 2025","896","Login page","","","","","should fail to login",""
"passed","Tue Mar 18 10:16:31 GMT 2025","Tue Mar 18 10:16:33 GMT 2025","1181","Navbar tests","","","","","should open products page",""
"passed","Tue Mar 18 10:16:34 GMT 2025","Tue Mar 18 10:16:35 GMT 2025","962","Navbar tests","","","","","should logout",""
"passed","Tue Mar 18 10:16:35 GMT 2025","Tue Mar 18 10:16:36 GMT 2025","839","Navbar tests","","","","","should display correct number of cart items",""
"passed","Tue Mar 18 10:16:17 GMT 2025","Tue Mar 18 10:16:18 GMT 2025","739","POST Product API tests","","","","","should receive 403 as client",""
"passed","Tue Mar 18 10:16:21 GMT 2025","Tue Mar 18 10:16:21 GMT 2025","33","GET Products API tests","","","","","should get 401 without token",""
"passed","Tue Mar 18 10:16:23 GMT 2025","Tue Mar 18 10:16:24 GMT 2025","40","Register API tests","","","","","should get 400 on invalid username",""
"passed","Tue Mar 18 10:16:26 GMT 2025","Tue Mar 18 10:16:28 GMT 2025","1776","Login page","","","","","should login successfully",""
"passed","Tue Mar 18 10:16:15 GMT 2025","Tue Mar 18 10:16:16 GMT 2025","1691","POST Product API tests","","","","","should successfully create product as admin (200)",""
"passed","Tue Mar 18 10:16:16 GMT 2025","Tue Mar 18 10:16:17 GMT 2025","739","POST Product API tests","","","","","should receive 400 if invalid stockQuantity",""
"passed","Tue Mar 18 10:16:20 GMT 2025","Tue Mar 18 10:16:21 GMT 2025","801","GET Products API tests","","","","","should successfully get products",""
"passed","Tue Mar 18 10:16:33 GMT 2025","Tue Mar 18 10:16:34 GMT 2025","921","Navbar tests","","","","","should open profile page",""
"passed","Tue Mar 18 10:16:24 GMT 2025","Tue Mar 18 10:16:24 GMT 2025","410","Register API tests","","","","","should get 400 if username already exists",""
"passed","Tue Mar 18 10:16:17 GMT 2025","Tue Mar 18 10:16:17 GMT 2025","51","POST Product API tests","","","","","should receive 401 without proper token",""
"passed","Tue Mar 18 10:16:23 GMT 2025","Tue Mar 18 10:16:23 GMT 2025","417","Register API tests","","","","","should successfully register user",""
