"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Mar 18 14:17:34 GMT 2025","Tue Mar 18 14:17:35 GMT 2025","775","POST Product API tests","","","","","should receive 403 as client",""
"passed","Tue Mar 18 14:17:59 GMT 2025","Tue Mar 18 14:18:00 GMT 2025","853","Navbar tests","","","","","should display correct number of cart items",""
"passed","Tue Mar 18 14:17:37 GMT 2025","Tue Mar 18 14:17:38 GMT 2025","416","Update products","","","","","should update products",""
"passed","Tue Mar 18 14:17:32 GMT 2025","Tue Mar 18 14:17:33 GMT 2025","1748","POST Product API tests","","","","","should successfully create product as admin (200)",""
"passed","Tue Mar 18 14:17:33 GMT 2025","Tue Mar 18 14:17:34 GMT 2025","803","POST Product API tests","","","","","should receive 400 if invalid stockQuantity",""
"passed","Tue Mar 18 14:17:58 GMT 2025","Tue Mar 18 14:17:59 GMT 2025","1008","Navbar tests","","","","","should logout",""
"passed","Tue Mar 18 14:17:52 GMT 2025","Tue Mar 18 14:17:52 GMT 2025","620","Login page tests in isolation","","","","","should fail to login",""
"passed","Tue Mar 18 14:17:44 GMT 2025","Tue Mar 18 14:17:46 GMT 2025","1933","Login page","","","","","should login successfully",""
"passed","Tue Mar 18 14:17:40 GMT 2025","Tue Mar 18 14:17:41 GMT 2025","414","Register API tests","","","","","should successfully register user",""
"passed","Tue Mar 18 14:18:06 GMT 2025","Tue Mar 18 14:18:07 GMT 2025","1485","Register tests in isolation","","","","","should fail to register if user already exists",""
"passed","Tue Mar 18 14:17:50 GMT 2025","Tue Mar 18 14:17:52 GMT 2025","1886","Login page tests in isolation","","","","","should login successfully",""
"passed","Tue Mar 18 14:18:04 GMT 2025","Tue Mar 18 14:18:06 GMT 2025","2023","Register tests in isolation","","","","","should successfully register new user",""
"passed","Tue Mar 18 14:17:41 GMT 2025","Tue Mar 18 14:17:41 GMT 2025","44","Register API tests","","","","","should get 400 on invalid username",""
"passed","Tue Mar 18 14:17:55 GMT 2025","Tue Mar 18 14:17:57 GMT 2025","1311","Navbar tests","","","","","should open products page",""
"passed","Tue Mar 18 14:17:57 GMT 2025","Tue Mar 18 14:17:58 GMT 2025","1011","Navbar tests","","","","","should open profile page",""
"passed","Tue Mar 18 14:17:41 GMT 2025","Tue Mar 18 14:17:41 GMT 2025","392","Register API tests","","","","","should get 400 if username already exists",""
"passed","Tue Mar 18 14:17:34 GMT 2025","Tue Mar 18 14:17:34 GMT 2025","65","POST Product API tests","","","","","should receive 401 without proper token",""
"passed","Tue Mar 18 14:17:46 GMT 2025","Tue Mar 18 14:17:47 GMT 2025","1046","Login page","","","","","should fail to login",""
