"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Mar 18 14:52:44 GMT 2025","Tue Mar 18 14:52:45 GMT 2025","1446","Register tests in isolation","","","","","should fail to register if user already exists",""
"passed","Tue Mar 18 14:52:37 GMT 2025","Tue Mar 18 14:52:37 GMT 2025","880","Navbar testss","","","","","should display correct number of cart items",""
"passed","Tue Mar 18 14:52:30 GMT 2025","Tue Mar 18 14:52:30 GMT 2025","582","Login page tests in isolation","","","","","should fail to login",""
"passed","Tue Mar 18 14:52:19 GMT 2025","Tue Mar 18 14:52:19 GMT 2025","464","Register API tests","","","","","should successfully register user",""
"passed","Tue Mar 18 14:52:12 GMT 2025","Tue Mar 18 14:52:13 GMT 2025","761","POST Product API tests","","","","","should receive 403 as client",""
"passed","Tue Mar 18 14:52:28 GMT 2025","Tue Mar 18 14:52:30 GMT 2025","1703","Login page tests in isolation","","","","","should login successfully",""
"passed","Tue Mar 18 14:52:11 GMT 2025","Tue Mar 18 14:52:12 GMT 2025","788","POST Product API tests","","","","","should receive 400 if invalid stockQuantity",""
"passed","Tue Mar 18 14:52:24 GMT 2025","Tue Mar 18 14:52:25 GMT 2025","918","Login page","","","","","should fail to login",""
"passed","Tue Mar 18 14:52:16 GMT 2025","Tue Mar 18 14:52:16 GMT 2025","393","Update products","","","","","should update products",""
"passed","Tue Mar 18 14:52:19 GMT 2025","Tue Mar 18 14:52:20 GMT 2025","412","Register API tests","","","","","should get 400 if username already exists",""
"passed","Tue Mar 18 14:52:34 GMT 2025","Tue Mar 18 14:52:35 GMT 2025","1067","Navbar testss","","","","","should open profile page",""
"passed","Tue Mar 18 14:52:19 GMT 2025","Tue Mar 18 14:52:19 GMT 2025","56","Register API tests","","","","","should get 400 on invalid username",""
"passed","Tue Mar 18 14:52:33 GMT 2025","Tue Mar 18 14:52:34 GMT 2025","1363","Navbar testss","","","","","should open products page",""
"passed","Tue Mar 18 14:52:35 GMT 2025","Tue Mar 18 14:52:37 GMT 2025","1042","Navbar testss","","","","","should logout",""
"passed","Tue Mar 18 14:52:22 GMT 2025","Tue Mar 18 14:52:24 GMT 2025","1994","Login page","","","","","should login successfully",""
"passed","Tue Mar 18 14:52:09 GMT 2025","Tue Mar 18 14:52:11 GMT 2025","1863","POST Product API tests","","","","","should successfully create product as admin (200)",""
"passed","Tue Mar 18 14:52:12 GMT 2025","Tue Mar 18 14:52:12 GMT 2025","50","POST Product API tests","","","","","should receive 401 without proper token",""
"passed","Tue Mar 18 14:52:42 GMT 2025","Tue Mar 18 14:52:44 GMT 2025","2094","Register tests in isolation","","","","","should successfully register new user",""
