"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Mar 18 14:46:18 GMT 2025","Tue Mar 18 14:46:19 GMT 2025","1266","Navbar testss","","","","","should open products page",""
"passed","Tue Mar 18 14:46:28 GMT 2025","Tue Mar 18 14:46:29 GMT 2025","1426","Register tests in isolation","","","","","should fail to register if user already exists",""
"passed","Tue Mar 18 14:45:57 GMT 2025","Tue Mar 18 14:45:57 GMT 2025","68","POST Product API tests","","","","","should receive 401 without proper token",""
"passed","Tue Mar 18 14:45:56 GMT 2025","Tue Mar 18 14:45:57 GMT 2025","774","POST Product API tests","","","","","should receive 400 if invalid stockQuantity",""
"passed","Tue Mar 18 14:46:03 GMT 2025","Tue Mar 18 14:46:03 GMT 2025","453","Register API tests","","","","","should successfully register user",""
"passed","Tue Mar 18 14:46:21 GMT 2025","Tue Mar 18 14:46:22 GMT 2025","848","Navbar testss","","","","","should display correct number of cart items",""
"passed","Tue Mar 18 14:45:54 GMT 2025","Tue Mar 18 14:45:56 GMT 2025","1842","POST Product API tests","","","","","should successfully create product as admin (200)",""
"passed","Tue Mar 18 14:46:15 GMT 2025","Tue Mar 18 14:46:15 GMT 2025","568","Login page tests in isolation","","","","","should fail to login",""
"passed","Tue Mar 18 14:45:57 GMT 2025","Tue Mar 18 14:45:58 GMT 2025","751","POST Product API tests","","","","","should receive 403 as client",""
"passed","Tue Mar 18 14:46:09 GMT 2025","Tue Mar 18 14:46:10 GMT 2025","990","Login page","","","","","should fail to login",""
"passed","Tue Mar 18 14:46:26 GMT 2025","Tue Mar 18 14:46:28 GMT 2025","1930","Register tests in isolation","","","","","should successfully register new user",""
"passed","Tue Mar 18 14:46:03 GMT 2025","Tue Mar 18 14:46:03 GMT 2025","73","Register API tests","","","","","should get 400 on invalid username",""
"passed","Tue Mar 18 14:46:03 GMT 2025","Tue Mar 18 14:46:04 GMT 2025","444","Register API tests","","","","","should get 400 if username already exists",""
"passed","Tue Mar 18 14:46:20 GMT 2025","Tue Mar 18 14:46:21 GMT 2025","991","Navbar testss","","","","","should logout",""
"passed","Tue Mar 18 14:46:19 GMT 2025","Tue Mar 18 14:46:20 GMT 2025","1010","Navbar testss","","","","","should open profile page",""
"passed","Tue Mar 18 14:46:13 GMT 2025","Tue Mar 18 14:46:15 GMT 2025","1780","Login page tests in isolation","","","","","should login successfully",""
"passed","Tue Mar 18 14:46:07 GMT 2025","Tue Mar 18 14:46:09 GMT 2025","2234","Login page","","","","","should login successfully",""
"passed","Tue Mar 18 14:46:00 GMT 2025","Tue Mar 18 14:46:00 GMT 2025","467","Update products","","","","","should update products",""
